nbins nline test training validacion
1 18 50.000000 49.562500 51.750000
2 18 43.150000 43.375000 42.250000
3 14 43.300000 41.625000 41.750000
4 19 42.100000 40.562500 42.250000
5 4 34.900000 34.312500 36.000000
6 7 30.350000 31.250000 32.000000
7 12 26.750000 26.562500 25.750000
8 8 23.600000 21.437500 20.500000
9 14 23.550000 19.687500 18.750000
10 12 18.850000 16.687500 20.500000
11 21 16.400000 14.687500 14.000000
12 7 17.600000 15.062500 16.750000
13 21 16.050000 13.812500 17.750000
14 12 15.550000 12.125000 17.500000
15 12 13.250000 11.687500 15.000000
16 8 9.950000 7.125000 8.000000
17 15 13.450000 9.500000 11.750000
18 4 13.100000 9.937500 12.000000
19 16 12.700000 7.500000 10.750000
20 12 12.950000 7.812500 10.750000
21 10 12.650000 7.437500 13.000000
22 14 11.350000 6.062500 10.000000
23 3 11.800000 7.000000 12.500000
24 6 11.650000 6.187500 10.500000
25 2 12.350000 5.625000 11.750000
26 3 11.750000 5.000000 12.000000
27 13 12.700000 5.312500 11.250000
28 4 13.300000 4.625000 12.250000
29 17 14.200000 4.875000 9.750000
30 7 13.800000 5.125000 11.750000
31 12 14.150000 4.062500 12.500000
32 15 14.350000 2.875000 13.500000
33 19 14.600000 2.562500 10.750000
34 5 15.300000 3.500000 16.500000
35 13 16.650000 3.125000 15.000000
36 8 16.500000 2.125000 15.000000
37 2 17.100000 2.687500 16.500000
38 21 19.250000 2.500000 20.250000
39 2 18.700000 2.437500 18.750000
40 21 20.400000 2.250000 18.750000
41 4 20.100000 2.687500 19.750000
42 13 21.550000 1.937500 19.750000
43 15 21.550000 2.562500 22.000000
44 6 22.700000 1.937500 21.750000
45 7 23.200000 1.750000 23.500000
46 10 23.150000 1.875000 25.500000
47 3 25.100000 1.750000 24.000000
48 14 24.800000 1.500000 26.000000
49 6 24.400000 1.500000 22.750000
50 12 25.850000 1.500000 28.250000
51 2 27.600000 1.875000 29.750000
52 14 28.050000 1.375000 27.750000
53 14 28.250000 1.250000 31.000000
54 5 28.000000 1.562500 28.500000
55 1 28.900000 0.937500 30.750000
56 17 29.000000 1.187500 29.750000
57 20 30.400000 0.937500 32.750000
58 16 29.700000 1.312500 31.750000
59 8 30.450000 1.250000 35.500000
60 19 30.800000 1.000000 29.250000
61 17 32.400000 0.875000 34.500000
62 4 32.750000 1.062500 31.000000
63 12 33.100000 0.875000 32.500000
64 7 33.350000 1.000000 32.750000
65 17 33.300000 1.000000 34.500000
66 21 33.250000 0.875000 35.250000
67 20 34.050000 0.562500 36.250000
68 11 34.200000 0.937500 39.250000
69 12 34.200000 0.875000 35.000000
70 15 34.100000 0.562500 35.750000
71 15 35.400000 0.812500 37.500000
72 9 36.100000 0.500000 39.000000
73 19 36.250000 0.687500 37.250000
74 6 35.600000 0.750000 36.750000
75 14 36.300000 1.000000 37.500000
76 18 36.950000 0.500000 38.000000
77 18 37.500000 0.687500 36.500000
78 5 37.200000 0.562500 36.750000
79 13 37.750000 0.250000 39.750000
80 3 37.950000 0.437500 39.000000
81 18 38.050000 0.812500 39.750000
82 2 37.200000 0.625000 39.500000
83 5 37.900000 0.312500 44.000000
84 16 38.900000 0.375000 38.750000
85 21 38.300000 0.437500 39.750000
86 5 39.500000 0.562500 38.750000
87 6 39.550000 0.250000 40.500000
88 10 39.500000 0.375000 39.500000
89 15 40.200000 0.375000 42.250000
90 19 40.400000 0.562500 42.750000
91 20 40.050000 0.375000 46.000000
92 15 41.050000 0.312500 39.750000
93 3 40.600000 0.312500 40.000000
94 9 40.650000 0.625000 46.250000
95 20 40.800000 0.187500 43.000000
96 4 41.600000 0.125000 41.250000
97 1 41.400000 0.437500 45.500000
98 20 41.000000 0.500000 41.000000
99 10 41.850000 0.312500 42.500000
100 18 41.650000 0.062500 39.250000
